web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,data,title,data3,rating2,data4,data5,title2
1756053991-568,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,6% off,₹448,8080 Reviews,Free Delivery,₹419,Ravishing Latest Men Shorts
1756053991-569,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,2% off,₹341,612 Reviews,Free Delivery,₹335,"Modern Men Dhotis, Mundus & Lungis"
1756053991-570,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4.1,4% off,₹280,3024 Reviews,Free Delivery,₹270,Fancy Men Vest
1756053991-571,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4.1,4% off,₹280,3024 Reviews,Free Delivery,₹270,Fancy Men Vest
1756053991-572,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,,,486 Reviews,Free Delivery,₹208,Trendy Gym Vests
1756053991-573,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,,,1187 Reviews,Free Delivery,₹544,Trendy Active Tshirts
1756053991-574,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,6% off,₹188,1197 Reviews,Free Delivery,₹177,Fancy Gym Vests
1756053991-575,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,8% off,₹192,1848 Reviews,Free Delivery,₹177,Comfy Gym Vests
1756053991-576,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.8,,,781 Reviews,Free Delivery,₹193,Trendy Gym Vests
1756053991-577,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,5% off,₹221,168 Reviews,Free Delivery,₹210,Classic Gym Vests
